Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
Ben Simmons,PG,26.0,BRK,42.0,33.0,26.3,3.2,5.6,0.566,"0,566",0.0,0.0,0.0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,Bad
Marko Simonovic,C,23.0,CHI,3.0,0.0,1.7,0.0,0.3,0.0,"0,000",0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Bad
Anfernee Simons,SG,23.0,POR,56.0,56.0,35.5,7.6,16.9,0.45,"0,450",3.5,9.2,0.381,4.1,7.8,0.532,0.553,2.6,2.9,0.913,0.3,2.4,2.7,4.2,0.7,0.2,2.2,2.4,21.4,Good
Jericho Sims,C,24.0,NYK,48.0,16.0,16.1,1.7,2.2,0.769,"0,769",0.0,0.0,0.0,1.7,2.1,0.777,0.769,0.3,0.3,0.75,1.9,2.9,4.8,0.5,0.3,0.6,0.5,1.9,3.6,Bad
Marcus Smart,PG,28.0,BOS,45.0,45.0,32.3,4.1,9.6,0.426,"0,426",1.8,5.3,0.329,2.3,4.3,0.547,0.517,1.4,1.8,0.768,0.7,2.8,3.5,6.8,1.4,0.4,2.4,2.6,11.3,Bad
Dennis Smith Jr.,PG,25.0,CHO,41.0,12.0,25.3,3.4,8.0,0.425,"0,425",0.4,1.9,0.218,3.0,6.1,0.49,0.451,1.3,1.7,0.761,0.4,2.3,2.7,4.4,1.4,0.4,1.5,2.2,8.5,Bad
Dru Smith,SG,25.0,TOT,8.0,1.0,12.1,1.3,2.9,0.435,"0,435",0.3,1.3,0.2,1.0,1.6,0.615,0.478,0.0,0.0,,0.1,1.8,1.9,1.3,1.0,0.4,0.3,1.6,2.8,Bad
Dru Smith,SG,25.0,MIA,5.0,1.0,13.4,1.0,2.8,0.357,"0,357",0.2,1.2,0.167,0.8,1.6,0.5,0.393,0.0,0.0,,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,2.2,Bad
Dru Smith,SG,25.0,BRK,3.0,0.0,10.0,1.7,3.0,0.556,"0,556",0.3,1.3,0.25,1.3,1.7,0.8,0.611,0.0,0.0,,0.0,2.0,2.0,1.7,1.3,0.0,0.3,1.0,3.7,Bad
Ish Smith,PG,34.0,DEN,31.0,0.0,10.2,1.4,3.2,0.424,"0,424",0.1,0.2,0.333,1.3,3.0,0.43,0.434,0.0,0.1,0.5,0.1,1.3,1.4,2.4,0.2,0.2,1.2,0.9,2.8,Bad
Jabari Smith Jr.,PF,19.0,HOU,57.0,57.0,30.1,4.2,10.9,0.384,"0,384",1.6,5.3,0.297,2.6,5.7,0.464,0.455,2.0,2.6,0.788,1.3,5.8,7.1,1.2,0.5,1.0,1.5,2.9,12.0,Bad
Jalen Smith,PF,22.0,IND,52.0,28.0,18.2,3.4,7.4,0.46,"0,460",0.8,2.9,0.276,2.6,4.4,0.58,0.514,1.5,1.9,0.76,1.8,3.8,5.6,0.9,0.3,0.8,1.1,2.1,9.0,Bad
Jeremy Sochan,PF,19.0,SAS,49.0,46.0,26.0,4.1,9.2,0.448,"0,448",0.6,2.3,0.261,3.6,7.0,0.509,0.48,1.3,1.9,0.695,1.7,3.2,4.9,2.5,0.7,0.4,1.7,2.5,10.2,Bad
Jaden Springer,SG,20.0,PHI,7.0,0.0,3.7,1.0,1.7,0.583,"0,583",0.0,0.0,,1.0,1.7,0.583,0.583,0.4,0.6,0.75,0.6,0.4,1.0,0.1,0.3,0.3,0.1,1.0,2.4,Bad
Lamar Stevens,PF,25.0,CLE,45.0,18.0,17.4,2.0,4.4,0.457,"0,457",0.4,1.5,0.303,1.6,3.0,0.534,0.508,0.6,0.9,0.718,0.6,2.4,3.0,0.6,0.4,0.3,0.5,1.2,5.1,Bad
Isaiah Stewart,C,21.0,DET,50.0,47.0,28.3,3.9,8.8,0.442,"0,442",1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,Bad
Max Strus,SF,26.0,MIA,60.0,27.0,29.9,4.3,10.7,0.399,"0,399",2.5,7.6,0.336,1.8,3.2,0.55,0.517,1.2,1.3,0.875,0.7,2.8,3.6,2.2,0.6,0.2,1.0,2.2,12.3,Bad
Jalen Suggs,PG,21.0,ORL,37.0,14.0,23.0,3.3,8.1,0.411,"0,411",1.1,3.7,0.304,2.2,4.4,0.503,0.482,1.6,2.2,0.707,0.9,1.9,2.8,3.3,1.2,0.5,1.9,2.4,9.4,Bad
